ConnectionName   PktNumber   OutgoingTime     ReceivingTime   difference 
 
Connection_Two   1    1692728811511335634     1692728811570805219   59469568
Connection_Two   2    1692728811565415135     1692728811571925847   6510592
Connection_Two   3    1692728811620785381     1692728811621165028   379648
Connection_Two   4    1692728811674593585     1692728811676745105   2151680
Connection_Two   5    1692728811726821524     1692728811727867406   1045760
Connection_Two   6    1692728811779089878     1692728811779465610   375808
Connection_Two   7    1692728811830518047     1692728811833499284   2981376
Connection_One   1    1692728811892584580     1692728812001208186   108623360
Connection_One   2    1692728811996714056     1692728812002927847   6213888
Connection_One   3    1692728812052473999     1692728812108394063   55919872
Connection_Two   8    1692728811943395132     1692728812237280962   293885952
Connection_Two   9    1692728812107355031     1692728812240899454   133544192
Connection_Two   10    1692728812175474821     1692728812343688395   168213504
Connection_Two   11    1692728812283288090     1692728812343835889   60547840
Connection_Two   12    1692728812396387798     1692728812449458493   53070592
Connection_One   4    1692728812229034997     1692728812557172962   328137984
Connection_One   5    1692728812343462394     1692728812557548907   214086400
Connection_One   6    1692728812448980471     1692728812662971032   213990656
Connection_One   7    1692728812501283253     1692728812663165212   161881856
Connection_One   8    1692728812556891941     1692728812779971778   223079936
Connection_One   9    1692728812611813754     1692728812780105273   168291584
Connection_One   10    1692728812662680620     1692728812882872350   220191744
Connection_One   11    1692728812831632323     1692728812883022682   51390208
Connection_One   12    1692728812882648467     1692728812986575948   103927296
Connection_One   13    1692728812936052161     1692728812986735008   50682880
Connection_One   14    1692728813091799576     1692728813092043594   243968
Connection_Two   13    1692728812722083199     1692728813195357427   473274368
Connection_Two   14    1692728812779693879     1692728813195511452   415817728
Connection_Two   15    1692728812986369200     1692728813306236329   319867136
Connection_Two   16    1692728813039595575     1692728813307410454   267814912
Connection_One   15    1692728813143730612     1692728813411557882   267827200
Connection_One   16    1692728813194961010     1692728813541004940   346044160
Connection_One   17    1692728813245984554     1692728813544380320   298395904
Connection_One   18    1692728813301013443     1692728813644881285   343867904
Connection_One   19    1692728813358486652     1692728813645038197   286551552
Connection_One   20    1692728813409879527     1692728813751265690   341386240
Connection_One   21    1692728813535539682     1692728813751432869   215893248
Connection_One   22    1692728813699311472     1692728813861075367   161764096
Connection_One   23    1692728813807547994     1692728813862929979   55382016
Connection_One   24    1692728813911696765     1692728813971125248   59428608
Connection_One   25    1692728813967939257     1692728813972368162   4428800
Connection_One   26    1692728814022186691     1692728814073715054   51528192
Connection_One   27    1692728814073463548     1692728814074438140   974592
Connection_One   28    1692728814144253401     1692728814195221173   50967808
Connection_One   29    1692728814194948307     1692728814195455827   507392
Connection_Thr   1    1692728815229312017     1692728815229613487   301568
Connection_Thr   2    1692728815280863751     1692728815281017284   153600
Connection_Thr   3    1692728815333061422     1692728815344423852   11362560
Connection_Thr   4    1692728815394766858     1692728815395009388   242432
Connection_Thr   5    1692728815450871805     1692728815485599381   34727680
Connection_Thr   6    1692728815509266087     1692728815509863344   597248
Connection_Thr   7    1692728815566238597     1692728815566737540   498944
Connection_Thr   8    1692728815617379593     1692728815631759990   14380288
Connection_Thr   9    1692728815702422528     1692728815702631780   209152
