ConnectionName   PktNumber   OutgoingTime     ReceivingTime   difference 
Connection_Thr   10    1692728815756236674     1692728815764874968   8638208
Connection_Thr   11    1692728815814109313     1692728815814430951   321536
Connection_Thr   12    1692728815864875889     1692728815869485284   4609536
Connection_Thr   13    1692728815917278963     1692728815917496537   217600
Connection_Thr   14    1692728815968128935     1692728815975055440   6926336
Connection_Thr   15    1692728816024618125     1692728816024810386   192256
Connection_Thr   16    1692728816127417025     1692728816127620724   203520
Connection_Thr   17    1692728816178952526     1692728816182586584   3634176
Connection_Thr   18    1692728816234280174     1692728816234567919   287744
Connection_Thr   19    1692728816289006196     1692728816304393344   15387136
Connection_Thr   20    1692728816358350925     1692728816358683214   332288
Connection_Thr   21    1692728816411977363     1692728816416428695   4451328
Connection_Thr   22    1692728816465301070     1692728816465571946   270848
Connection_Thr   23    1692728816517236839     1692728816521351558   4114944
Connection_Thr   24    1692728816571905299     1692728816572334590   429312
Connection_Thr   25    1692728816623126015     1692728816623712475   586496
Connection_Thr   26    1692728816674427509     1692728816674636611   209152
Connection_Thr   27    1692728816754900156     1692728816758662446   3762176
Connection_Thr   28    1692728816822460853     1692728816823463348   1002496
Connection_Thr   29    1692728816877886806     1692728816883359849   5473024
Connection_Thr   30    1692728816932614734     1692728816932787729   173056
Connection_Thr   31    1692728816999649786     1692728817000428223   778496
Connection_Thr   32    1692728817054857856     1692728817056701579   1843968
Connection_Thr   33    1692728817107387561     1692728817108891085   1503488
Connection_Thr   34    1692728817159488914     1692728817165071441   5582336
Connection_Thr   35    1692728817216267345     1692728817224651005   8383744
Connection_Thr   36    1692728817277456549     1692728817277652768   196096
Connection_Thr   37    1692728817333453384     1692728817346848737   13395456
Connection_Thr   38    1692728817386128725     1692728817386378642   250112
Connection_Thr   39    1692728817439563138     1692728817441855049   2291712
Connection_Thr   40    1692728817495595255     1692728817498282955   2687744
Connection_Thr   41    1692728817548015944     1692728817548232516   216576
Connection_Thr   42    1692728817603295100     1692728817607767264   4472320
Connection_Thr   43    1692728817655137529     1692728817655373542   236032
Connection_Thr   44    1692728817717629966     1692728817730109250   12479232
Connection_Thr   45    1692728817784497426     1692728817784815116   317696
Connection_Thr   46    1692728817838600018     1692728817854356722   15756800
Connection_Thr   47    1692728817906268376     1692728817910646876   4378368
Connection_Thr   48    1692728817967626839     1692728817967944040   317184
Connection_Thr   49    1692728818020260855     1692728818021812667   1551872
Connection_Thr   50    1692728818073423264     1692728818073714247   290816
Connection_Thr   51    1692728818134018335     1692728818151430399   17412096
Connection_Thr   52    1692728818184935155     1692728818185080321   145152
Connection_Thr   53    1692728818239150889     1692728818239354271   203520
Connection_Thr   54    1692728818290993868     1692728818297737543   6743552
Connection_Thr   55    1692728818348063251     1692728818348282667   219392
Connection_Thr   56    1692728818400442528     1692728818401689390   1246720
Connection_Thr   57    1692728818455713933     1692728818456084670   370688
Connection_Thr   58    1692728818515370665     1692728818517579127   2208256
Connection_Thr   59    1692728818571446925     1692728818574704614   3257600
Connection_Thr   60    1692728818622231200     1692728818622459356   228096
